Symbol,Series,Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,No. of Trades
INFY,EQ,17-Aug-20,953.6,954.1,972.45,954.1,958.3,957.5,962.38,9008716,8669769420,140270
INFY,EQ,18-Aug-20,957.5,963.9,969.2,958.7,967.1,967.55,964.28,6142171,5922744205,119041
INFY,EQ,19-Aug-20,967.55,970.9,971.55,957.45,960,959.3,963.05,6622744,6378066101,125391
INFY,EQ,20-Aug-20,959.3,958.9,965.5,951.3,951.8,955.15,957.55,5656667,5416530384,123695
INFY,EQ,21-Aug-20,955.15,963.05,963.45,946.55,949.8,948.8,951.89,6513784,6200435489,123340
INFY,EQ,24-Aug-20,948.8,947,952,939.2,948.55,947.4,946.24,5798579,5486819045,153799
INFY,EQ,25-Aug-20,947.4,947.5,948.65,933.6,938.6,938.1,940.65,6233923,5863927590,105761
INFY,EQ,26-Aug-20,938.1,941.25,954.25,938.4,953.5,950.8,945.03,5153663,4870349606,114894
INFY,EQ,27-Aug-20,950.8,960,960.95,945.2,950.8,947.05,952.03,6154300,5859108364,124639
INFY,EQ,28-Aug-20,947.05,951.45,952.5,933.05,935.05,935.25,940.5,7593988,7142134781,180829
INFY,EQ,31-Aug-20,935.25,935.25,950.5,914.6,919.7,928.6,933.36,12808369,11954811845,206060
INFY,EQ,01-Sep-20,928.6,926.25,935,912.1,917.95,914.15,921.79,6907783,6367507048,117189
INFY,EQ,02-Sep-20,914.15,915,926.4,913.5,923.6,924,920.9,5678696,5229493200,105709
INFY,EQ,03-Sep-20,924,926.5,949.4,924,935.2,935.55,937.36,8828016,8275049706,130511
INFY,EQ,04-Sep-20,935.55,915,929.5,914.45,920.5,919.15,921.81,8650414,7974078251,146258
INFY,EQ,07-Sep-20,919.15,918.9,927.55,913.05,925.55,925.05,921.27,6700450,6172952177,101639
INFY,EQ,08-Sep-20,925.05,929.95,952,925.55,938.8,939.3,942.77,12892115,12154247390,200293
INFY,EQ,09-Sep-20,939.3,935,946,926,928.2,927.75,933.78,5529150,5163032077,133068
INFY,EQ,10-Sep-20,927.75,935.3,942,924.8,939.65,940.05,934.08,5172091,4831122432,101735
INFY,EQ,11-Sep-20,940.05,934.9,954.15,931,944.5,945.7,945.41,6672082,6307865396,124065
INFY,EQ,14-Sep-20,945.7,957,991.05,948.3,975,978.4,976.06,21871591,21347911660,342353
INFY,EQ,15-Sep-20,978.4,979.5,994,971.65,981.4,982.45,982.27,11608223,11402371129,252665
INFY,EQ,16-Sep-20,982.45,986,1005.65,982,1001.8,1001.75,991.46,10059392,9973473916,239939
INFY,EQ,17-Sep-20,1001.75,995,1021,995,1011,1011,1010.52,15628308,15792764186,340784
INFY,EQ,18-Sep-20,1011,1011,1018.8,999.1,1003.4,1002.15,1007.23,12897897,12991132019,228827
INFY,EQ,21-Sep-20,1002.15,1001,1031,1000.5,1007,1009.9,1019.34,14140790,14414221201,284118
INFY,EQ,22-Sep-20,1009.9,1009,1022.5,991.2,1008,1007.5,1007.79,12625775,12724148446,307283
INFY,EQ,23-Sep-20,1007.5,1020.15,1037,1008.1,1019.85,1019.75,1024.08,13486274,13810988923,258509
